Name,Period,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bulawayo,1995-99,28.62,-20.15,1343,5.0,4.9,4.7,4.8,3.8,3.7,3.7,3.9,4.6,5.5,5.4,5.5
Rockhampton,1999,150.47,-23.38,14,3.9,3.6,3.4,3.1,2.7,2.7,2.8,2.9,3.2,3.2,3.2,3.7
Alice Springs,1998,133.90,-23.80,541,3.8,3.2,3.5,3.0,2.8,2.7,2.7,2.8,3.2,3.2,3.2,3.2
Skukuza,1998-2000,31.58,-24.98,150,3.3,2.9,3.1,3.4,2.8,3.0,3.4,3.2,4.2,3.8,3.5,3.4
Maputo,1995-99,32.60,-25.97,70,3.7,3.8,3.3,3.5,3.0,3.1,3.1,3.0,4.0,2.9,3.5,3.2
Florianopolis,1998,-48.48,-27.47,11,2.5,3.0,-,-,-,-,-,-,-,2.4,2.4,2.4
Geraldton,1998,114.70,-28.78,34,3.5,3.4,3.3,3.3,3.2,2.7,2.4,2.8,2.9,3.0,3.1,3.4
Kalgoorlie,1999,121.45,-30.77,360,3.6,3.4,3.3,2.9,2.7,2.6,2.6,2.8,3.1,3.0,2.9,3.2
Cordoba-CETT,1999-2000,-64.45,-31.52,730,3.2,2.9,2.9,2.6,2.5,2.6,2.4,2.8,2.9,3.0,2.7,3.0
Ceilap-BA,1999-2000,-58.50,-34.57,10,3.1,3.4,3.3,3.1,3.2,3.1,2.7,2.9,3.2,3.4,3.2,3.3
Wagga Wagga,1998,147.45,-35.15,213,3.3,3.1,2.9,2.9,2.8,2.7,2.7,2.8,3.0,3.0,2.9,3.1
Mount Gambier,1999,140.78,-37.73,69,2.9,3.0,2.8,2.7,3.0,2.8,2.5,2.9,3.3,2.9,3.1,3.1
Cape Grim,1999,144.68,-40.67,95,3.5,3.4,3.5,3.0,3.0,2.9,2.5,3.1,3.3,3.4,3.1,3.4
Georg von Neum.,1993,-8.25,-70.65,42,3.0,2.7,2.6,-,-,-,-,-,-,2.1,2.0,2.1
Alta Floresta,1993-95,-56.00,-9.92,175,3.5,3.4,3.6,3.3,3.2,3.2,3.3,7.5,10.0,6.2,-,-
Bondoukoui,1996-97,-3.75,11.83,0,5.1,10.0,10.0,10.0,9.5,8.0,7.9,6.2,6.2,7.7,5.0,5.4
Ougadougou,1999-2000,-1.40,12.20,290,7.4,5.3,10.0,8.7,8.2,7.2,7.0,5.7,6.7,8.6,6.3,4.8
